tērā,t e: - ɾ a:
tētahi,t e: - t a - h i
tētehi,t e: - t e - h i
tiakina,t i - a - k i - n a
tihi,t i - h i
tika,t i - k a
tikanga,t i - k a - ŋ a
timata,t i - m a - t a
timu,t i - m u
tinana,t i - n a - n a
tino,t i - n o
tira,t i - ɾ a
tirohanga,t i - ɾ o - h a - ŋ a
titiro,t i - t i - ɾ o
tīmata,t i: - m a - t a
tīmatanga,t i: - m a - t a - ŋ a
toa,t o - a
tohatoha,t o - h a - t o - h a
tohu,t o - h u
tohua,t o - h u - a
tohutō,t o - h u - t o:
tohunga,t o - h u - ŋ a
tokerau,t o - k e - ɾ au
toki,t o - k i
tokomaha,t o - k o - m a - h a
tokorua,t o - k o - ɾ u - a
tokotoko,t o - k o - t o - k o
tokotoru,t o - k o - t o - ɾ u
tomo,t o - m o
tona,t o - n a
tono,t o - n o
tonu,t o - n u
tonutia,t o - n u - t i - a
toro,t o - ɾ o
toru,t o - ɾ u
toto,t o - t o
tonga,t o - ŋ a
tō,t o:
tōku,t o: - k u
tōna,t o: - n a
tua,t u - a
tuari,t u - a - ɾ i
tuarua,t u - a - ɾ u - a
tuatahi,t u - a - t a - h i
tuatoru,t u - a - t o - ɾ u
tuawhā,t u - a - f a:
tuawhitu,t u - a - f i - t u
tuhi,t u - h i
tuhia,t u - h i - a
tuhituhi,t u - h i - t u - h i
tuku,t u - k u
tukuna,t u - k u - n a
tumu,t u - m u
tumuaki,t u - m u - a - k i
tupu,t u - p u
tupuna,t u - p u - n a
turanga,t u - ɾ a - ŋ a
ture,t u - ɾ e
turi,t u - ɾ i
tutuki,t u - t u - k i
tū,t u:
tūmomo,t u: - m o - m o
tūpato,t u: - p a - t o
tūpuna,t u: - p u - n a
tūranga,t u: - ɾ a - ŋ a
tūturu,t u: - t u - ɾ u
tūnga,t u: - ŋ a
Wai,w ai
Waikato,w ai - k a - t o
Wairua,w ai - ɾ u - a
Waitangi,w ai - t a - ŋ i
Wahi,w a - h i
Waka,w a - k a
Wā,w a:
Wāhine,w a: - h i - n e
Wehe,w e - h e
Wīwī,w i: - w i:
wae,w ae
waenganui,w ae - ŋ a - n u - i
wai,w ai
waiho,w ai - h o
wairua,w ai - ɾ u - a
waha,w a - h a
wahi,w a - h i
wahine,w a - h i - n e
waho,w a - h o
waka,w a - k a
wareware,w a - ɾ e - w a - ɾ e
waru,w a - ɾ u
wā,w a:
wāhanga,w a: - h a - ŋ a
wāhi,w a: - h i
wāhine,w a: - h i - n e
wānanga,w a: - n a - ŋ a
wāpu,w a: - p u
wātea,w a: - t e - a
wehe,w e - h e
Nga,ŋ a
Ngai,ŋ ai
Ngata,ŋ a - t a
Ngati,ŋ a - t i
Ngā,ŋ a:
nga,ŋ a
ngaro,ŋ a - ɾ o
ngata,ŋ a - t a
ngā,ŋ a:
ngākau,ŋ a: - k au
ngētehi,ŋ e: - t e - h i
Whakaahua,f a - k a - a - h u - a
Whakaakoranga,f a - k a - a - k o - ɾ a - ŋ a
Whakaata,f a - k a - a - t a
Whakamana,f a - k a - m a - n a
Whakamutunga,f a - k a - m u - t u - ŋ a
Whakapā,f a - k a - p a:
Whakapono,f a - k a - p o - n o
Whakatau,f a - k a - t au
Whakatūpato,f a - k a - t u: - p a - t o
Whanau,f a - n au
Whanga,f a - ŋ a
Whanganui,f a - ŋ a - n u - i
Whānautanga,f a: - n au - t a - ŋ a
Whānui,f a: - n u - i
Whenua,f e - n u - a
Whiri,f i - ɾ i
Whiringa,f i - ɾ i - ŋ a
Whiti,f i - t i
Whoatu,f o - a - t u
wha,f a
whai,f ai
whakaae,f a - k a - ae
whakaaetia,f a - k a - ae - t i - a
whakaahua,f a - k a - a - h u - a
whakaahuatia,f a - k a - a - h u - a - t i - a
whakaakoranga,f a - k a - a - k o - ɾ a - ŋ a
whakaaro,f a - k a: - ɾ o
whakaatu,f a - k a - a - t u
whakairia,f a - k a - i - ɾ i - a
whakairo,f a - k ai - ɾ o
whakaiti,f a - k ai - t i
whakaoho,f a - k a - o - h o
whakaora,f a - k a - o - ɾ a
whakaoranga,f a - k a - o - ɾ a - ŋ a
whakaoti,f a - k a - o - t i
whakauru,f a - k a - u - ɾ u
whakautu,f a - k a - u - t u
whakahaere,f a - k a - h ae - ɾ e
whakahaeretia,f a - k a - h ae - ɾ e - t i - a
whakahau,f a - k a - h au
whakahē,f a - k a - h e:
whakahirahira,f a - k a - h i - ɾ a - h i - ɾ a
whakahoki,f a - k a - h o - k i
whakahua,f a - k a - h u - a
whakakaha,f a - k a - k a - h a
whakakore,f a - k a - k o - ɾ e
whakakorengia,f a - k a - k o - ɾ e - ŋ i - a
whakamaumahara,f a - k a - m au - m a - h a - ɾ a
whakamahi,f a - k a - m a - h i
whakamahia,f a - k a - m a - h i - a
whakamana,f a - k a - m a - n a
whakamāori,f a - k a - m a:o - ɾ i
whakamāoritanga,f a - k a - m a:o - ɾ i - t a - ŋ a
whakamārama,f a - k a - m a: - ɾ a - m a
whakamāramatanga,f a - k a - m a: - ɾ a - m a - t a - ŋ a
whakamihi,f a - k a - m i - h i
whakamua,f a - k a - m u - a
whakamutunga,f a - k a - m u - t u - ŋ a
whakanui,f a - k a - n u - i
whakapai,f a - k a - p ai
whakapapa,f a - k a - p a - p a
whakapono,f a - k a - p o - n o
whakapuare,f a - k a - p u - a - ɾ e
whakaputa,f a - k a - p u - t a
whakararo,f a - k a - ɾ a - ɾ o
whakarārangi,f a - k a - ɾ a: - ɾ a - ŋ i
whakarerekē,f a - k a - ɾ e - ɾ e - k e:
whakaritenga,f a - k a - ɾ i - t e - ŋ a
whakaroa,f a - k a - ɾ o - a
whakarongo,f a - k a - ɾ o - ŋ o
whakatau,f a - k a - t au
whakatauki,f a - k a - t au - k i
whakataukī,f a - k a - t au - k i:
whakatakoto,f a - k a - t a - k o - t o
whakatakotohia,f a - k a - t a - k o - t o - h i - a
whakatere,f a - k a - t e - ɾ e
whakatikatika,f a - k a - t i - k a - t i - k a
whakatuwhera,f a - k a - t u - f e - ɾ a
whakatūhia,f a - k a - t u: - h i - a
whakatūria,f a - k a - t u: - ɾ i - a
whakawā,f a - k a - w a:
whakangā,f a - k a - ŋ a:
whakawhānui,f a - k a - f a: - n u - i
whakawhiti,f a - k a - f i - t i
whakawhiwhia,f a - k a - f i - f i - a
whanaunga,f a - n au - ŋ a
wharekai,f a - ɾ e - k ai
whawhai,f a - f ai
whā,f a:
whāia,f a:i - a
whānau,f a: - n au
